TimeStamp,X,Y,Z,TEMP,S1,S2,S3,S4,cS1,cS2,cS3,cS4
6:59:16.766,-6,14,1087,27809,24826,26244,24507,23873,30219,30293,30255,30329
6:59:16.766,-5,13,1087,27809,24827,26244,24507,23872,30220,30293,30254,30329
6:59:16.766,-6,14,1087,27809,24827,26244,24507,23872,30220,30293,30255,30329
6:59:16.766,-6,13,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.766,-5,14,1087,27809,24827,26244,24508,23872,30220,30293,30255,30329
6:59:16.766,-5,14,1087,0,0,0,0,0,0,0,0,0
6:59:16.766,-5,14,1087,27809,24827,26244,24507,23872,30220,30293,30255,30329
6:59:16.766,-6,13,1087,27809,24826,26243,24507,23871,30220,30292,30255,30328
6:59:16.766,-5,13,1087,27809,24826,26244,24507,23872,30220,30293,30255,30328
6:59:16.766,-5,13,1087,27809,24827,26244,24507,23872,30220,30293,30255,30329
6:59:16.766,-6,13,1088,27809,24827,26245,24508,23872,30220,30294,30256,30329
6:59:16.766,-5,14,1087,27809,24827,26244,24507,23873,30220,30293,30255,30329
6:59:16.766,-5,14,1088,27809,24827,26244,24507,23872,30221,30293,30255,30329
6:59:16.766,-6,13,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.767,-6,13,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24825,26244,24507,23873,30219,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24825,26244,24506,23872,30218,30293,30254,30329
6:59:16.767,-5,14,1087,27809,24826,26244,24506,23872,30219,30293,30254,30329
6:59:16.767,-5,14,1087,27809,24826,26244,24506,23872,30219,30292,30254,30329
6:59:16.767,-5,14,1087,27809,24827,26243,24506,23872,30220,30292,30254,30329
6:59:16.767,-5,15,1087,27809,24827,26243,24507,23873,30220,30292,30255,30329
6:59:16.767,-6,14,1087,27809,24826,26243,24507,23872,30220,30292,30255,30329
6:59:16.767,-6,14,1087,27809,24827,26244,24507,23872,30220,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24826,26244,24507,23872,30220,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24826,26244,24507,23872,30219,30293,30254,30329
6:59:16.767,-5,14,1088,27809,24826,26245,24507,23873,30220,30294,30255,30330
6:59:16.767,-5,14,1087,27809,24826,26244,24507,23873,30219,30293,30254,30330
6:59:16.767,-6,14,1087,27809,24826,26244,24507,23873,30219,30293,30254,30330
6:59:16.767,-6,13,1087,27809,24826,26244,24507,23872,30219,30293,30254,30329
6:59:16.767,-6,13,1087,27809,24825,26244,24507,23872,30219,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24825,26244,24506,23873,30219,30293,30254,30329
6:59:16.767,-6,14,1087,27809,24826,26244,24507,23872,30219,30293,30254,30329
6:59:16.767,-5,13,1087,27809,24826,26244,24506,23872,30220,30293,30254,30329
6:59:16.767,-5,14,1087,27809,24826,26244,24507,23872,30220,30293,30255,30329
6:59:16.767,-6,14,1087,27809,24826,26243,24507,23872,30219,30292,30254,30329
6:59:16.767,-6,14,1087,27809,24825,26244,24507,23872,30218,30293,30254,30329
6:59:16.767,-6,15,1087,27809,24826,26243,24506,23872,30219,30292,30254,30329
6:59:16.767,-6,14,1086,27809,24825,26243,24507,23872,30218,30292,30254,30329
6:59:16.767,-6,14,1086,27809,24825,26243,24507,23872,30219,30292,30254,30329
6:59:16.767,-6,15,1087,27809,24826,26243,24507,23872,30219,30292,30254,30329
6:59:16.767,-5,15,1087,27809,24826,26243,24507,23872,30220,30292,30254,30329
6:59:16.767,-5,15,1087,27809,24827,26243,24507,23872,30220,30292,30255,30329
6:59:16.767,-5,15,1087,27809,24827,26243,24507,23873,30220,30292,30255,30329
6:59:16.767,-5,15,1087,27809,24827,26243,24507,23873,30220,30292,30254,30329
6:59:16.767,-5,15,1087,27809,24827,26244,24507,23873,30220,30293,30255,30330
6:59:16.767,-4,15,1087,27809,24827,26243,24506,23872,30221,30292,30254,30329
6:59:16.767,-5,15,1087,27809,24827,26244,24507,23873,30220,30292,30254,30330
6:59:16.767,-4,15,1087,27809,24827,26244,24507,23873,30221,30293,30255,30330
6:59:16.767,-4,15,1087,27809,24828,26243,24507,23873,30221,30292,30254,30330
6:59:16.767,-3,15,1087,27809,24828,26243,24506,23873,30221,30292,30254,30330
6:59:16.767,-3,14,1088,27809,24828,26244,24506,23873,30222,30293,30254,30330
6:59:16.767,-3,14,1087,27809,24828,26244,24506,23873,30221,30293,30254,30329
6:59:16.767,-2,14,1087,27809,24829,26244,24506,23872,30222,30293,30254,30329
6:59:16.805,-2,13,1088,27809,24829,26244,24507,23872,30222,30293,30254,30329
6:59:16.805,-3,14,1088,27809,24829,26244,24507,23872,30222,30293,30255,30329
6:59:16.805,-4,14,1088,27809,24829,26244,24508,23872,30222,30293,30255,30329
6:59:16.805,-4,14,1088,27809,24829,26244,24507,23872,30222,30293,30255,30329
6:59:16.805,-3,14,1087,27809,24828,26244,24507,23872,30222,30292,30255,30329
6:59:16.805,-4,14,1087,27809,24828,26244,24507,23872,30221,30293,30254,30329
6:59:16.805,-4,14,1087,27809,24827,26244,24507,23872,30221,30293,30254,30329
6:59:16.805,-4,14,1087,27809,24827,26244,24507,23872,30221,30293,30254,30329
6:59:16.805,-4,13,1087,27809,24827,26244,24507,23872,30221,30293,30255,30329
6:59:16.805,-5,12,1087,27809,24827,26244,24507,23872,30220,30293,30255,30328
6:59:16.805,-5,13,1087,27809,24826,26245,24507,23872,30220,30293,30254,30329
6:59:16.805,-6,13,1087,27809,24826,26245,24507,23872,30219,30293,30255,30329
6:59:16.805,-5,14,1087,27809,24827,26244,24507,23872,30220,30293,30254,30329
6:59:16.805,-5,13,1087,27809,24826,26244,24507,23872,30219,30293,30254,30329
6:59:16.805,-6,14,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.805,-6,13,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.805,-6,13,1087,27809,24826,26244,24507,23872,30219,30293,30255,30329
6:59:16.854,-6,14,1087,27809,24826,26244,24508,23872,30220,30293,30256,30329
6:59:16.854,-5,13,1087,27809,24827,26244,24507,23872,30220,30293,30255,30329
6:59:16.854,-5,13,1087,27809,24826,26244,24507,23872,30220,30293,30255,30329
