TimeStamp,X,Y,Z,TEMP,S1,S2,S3,S4,cS1,cS2,cS3,cS4
7:11:28.859,15,9,994,27800,24733,26144,24398,23779,30135,30204,30150,30236
7:11:28.859,14,9,995,27800,24734,26144,24399,23779,30135,30205,30150,30237
7:11:28.859,14,9,994,27800,24734,26144,24399,23779,30135,30205,30150,30236
7:11:28.859,15,9,994,27800,24734,26145,24398,23779,30135,30205,30150,30236
7:11:28.859,14,9,995,27800,24734,26145,24399,23779,30135,30205,30150,30237
7:11:28.859,14,9,994,27800,24734,26144,24399,23779,30135,30205,30150,30236
7:11:28.859,14,9,994,27800,24733,26144,24399,23779,30135,30205,30150,30236
7:11:28.859,14,8,994,27800,24733,26145,24399,23779,30134,30205,30150,30236
7:11:28.859,14,9,994,27800,24733,26145,24399,23779,30134,30205,30150,30236
7:11:28.859,14,9,995,27800,24733,26145,24399,23779,30134,30205,30150,30237
7:11:28.859,14,8,994,27800,24733,26145,24399,23779,30135,30205,30150,30236
7:11:28.859,14,8,995,27800,24734,26146,24399,23779,30135,30206,30150,30236
7:11:28.859,14,9,995,27800,24734,26145,24399,23779,30135,30205,30150,30237
7:11:28.859,13,9,995,27800,24733,26145,24399,23779,30134,30205,30150,30237
7:11:28.957,13,9,995,0,0,0,0,0,0,0,0,0
7:11:28.957,13,9,994,27800,24733,26144,24399,23779,30134,30205,30150,30236
7:11:28.957,13,9,994,27800,24733,26144,24399,23779,30134,30205,30150,30236
7:11:28.957,13,9,994,27800,24732,26145,24399,23779,30134,30205,30150,30236
7:11:28.957,13,9,994,27800,24733,26145,24399,23779,30134,30205,30150,30237
7:11:28.957,14,9,994,27800,24733,26145,24398,23779,30134,30205,30150,30236
7:11:28.957,14,8,994,27800,24732,26145,24398,23779,30134,30205,30149,30236
7:11:28.957,13,9,994,27800,24732,26145,24399,23779,30134,30205,30150,30237
7:11:28.957,13,9,994,27800,24732,26145,24399,23779,30133,30205,30150,30237
7:11:28.957,13,10,994,27800,24732,26144,24398,23780,30134,30205,30150,30237
7:11:28.957,13,10,994,27800,24733,26144,24399,23780,30134,30205,30150,30237
7:11:28.957,14,10,994,27800,24733,26144,24399,23780,30134,30205,30150,30237
7:11:28.957,14,10,995,27800,24733,26145,24399,23780,30134,30205,30150,30237
7:11:28.957,14,10,995,27800,24733,26145,24399,23780,30134,30205,30150,30237
7:11:28.957,14,10,995,27800,24733,26145,24398,23780,30134,30205,30150,30237
7:11:28.957,14,10,994,27800,24733,26144,24398,23780,30134,30205,30149,30237
7:11:28.957,14,10,994,27800,24733,26144,24398,23779,30134,30205,30150,30237
7:11:28.957,14,9,994,27800,24732,26144,24398,23779,30134,30204,30150,30236
7:11:28.957,14,9,994,27800,24733,26144,24399,23779,30134,30205,30150,30236
7:11:28.958,14,9,994,27800,24733,26144,24399,23778,30134,30204,30150,30236
7:11:28.958,14,9,994,27800,24733,26144,24399,23779,30134,30205,30150,30236
7:11:28.958,14,10,994,27800,24733,26144,24399,23779,30134,30204,30150,30237
7:11:28.958,14,9,994,27800,24733,26144,24398,23779,30134,30205,30149,30236
7:11:28.958,15,9,994,27800,24733,26144,24398,23779,30134,30205,30149,30237
7:11:28.958,15,9,994,27800,24733,26145,24398,23779,30135,30205,30149,30237
7:11:28.958,14,9,994,27800,24733,26144,24399,23779,30134,30205,30150,30236
7:11:28.958,13,9,994,27800,24732,26145,24399,23779,30134,30205,30150,30236
7:11:28.958,13,9,995,27800,24732,26145,24399,23779,30134,30205,30150,30237
7:11:28.958,13,8,995,27800,24733,26145,24399,23779,30134,30206,30150,30237
7:11:28.958,13,9,995,27800,24732,26145,24399,23779,30134,30206,30151,30237
7:11:28.958,13,8,995,27800,24733,26145,24400,23779,30135,30206,30151,30237
7:11:28.958,14,9,995,27800,24734,26145,24399,23780,30135,30206,30151,30237
7:11:28.958,14,9,995,27800,24734,26145,24399,23779,30135,30205,30151,30237
7:11:28.958,14,8,995,27800,24734,26145,24399,23779,30135,30206,30151,30236
7:11:28.958,14,9,995,27799,24734,26145,24400,23779,30136,30206,30151,30237
7:11:28.958,14,8,995,27799,24734,26145,24399,23779,30136,30206,30151,30237
7:11:28.958,14,9,995,27799,24734,26145,24399,23779,30135,30205,30151,30237
7:11:28.958,13,9,995,27800,24733,26144,24399,23779,30134,30205,30151,30236
7:11:28.958,14,9,995,27800,24733,26144,24399,23779,30135,30205,30150,30237
7:11:28.958,14,9,995,27800,24734,26144,24399,23779,30135,30205,30151,30237
7:11:28.958,13,10,994,27800,24733,26144,24399,23779,30134,30204,30151,30236
7:11:28.959,12,10,994,27800,24732,26144,24399,23779,30133,30204,30150,30236
7:11:28.959,13,10,994,27800,24733,26143,24399,23779,30134,30204,30150,30236
7:11:28.959,14,9,994,27800,24733,26143,24399,23778,30135,30204,30150,30236
7:11:28.959,14,9,994,27800,24734,26143,24399,23778,30135,30204,30151,30236
7:11:28.959,15,9,994,27800,24734,26144,24399,23779,30135,30204,30150,30236
7:11:28.959,15,10,994,27800,24733,26144,24398,23779,30135,30204,30150,30237
7:11:28.959,15,9,994,27800,24734,26144,24398,23779,30135,30205,30150,30236
7:11:28.959,14,9,995,27800,24733,26144,24399,23779,30135,30205,30150,30237
7:11:28.959,14,9,995,27799,24733,26145,24399,23779,30135,30205,30150,30236
7:11:28.959,14,9,995,27799,24734,26145,24399,23779,30135,30205,30151,30236
7:11:28.959,15,9,995,27799,24734,26145,24399,23779,30135,30205,30150,30237
7:11:28.997,14,9,995,27799,24733,26145,24399,23779,30135,30206,30151,30237
7:11:28.997,14,9,995,27799,24733,26145,24399,23779,30135,30206,30150,30237
7:11:28.997,15,9,995,27799,24734,26145,24399,23779,30135,30205,30150,30237
7:11:28.997,15,9,995,27799,24734,26145,24399,23779,30136,30206,30150,30237
7:11:28.997,14,9,995,27799,24733,26145,24399,23779,30135,30206,30151,30237
7:11:28.997,14,9,995,27799,24734,26145,24399,23779,30135,30205,30150,30237
7:11:28.997,13,8,995,27799,24733,26145,24399,23779,30134,30206,30150,30237
7:11:28.997,14,9,995,27799,24733,26145,24399,23779,30134,30206,30150,30237
7:11:28.997,13,8,995,27799,24733,26145,24399,23779,30134,30206,30150,30236
7:11:28.997,13,8,995,27799,24732,26145,24399,23779,30134,30206,30151,30237
7:11:28.997,13,9,995,27799,24733,26145,24399,23780,30134,30206,30151,30238
7:11:28.997,12,10,995,27799,24732,26145,24399,23780,30134,30206,30151,30238
7:11:28.997,12,10,995,27799,24732,26145,24399,23780,30134,30206,30151,30238
7:11:28.997,13,9,995,27799,24733,26145,24399,23779,30134,30206,30151,30237
7:11:28.997,13,9,995,27799,24733,26145,24399,23779,30134,30206,30151,30237
7:11:28.997,14,10,995,27799,24733,26144,24399,23779,30135,30205,30150,30237
7:11:28.997,14,9,995,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:28.997,14,9,995,27799,24733,26145,24399,23779,30135,30206,30150,30237
7:11:28.997,14,9,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:28.997,14,8,995,27799,24733,26145,24399,23778,30135,30206,30151,30236
7:11:28.997,13,8,995,27799,24733,26145,24400,23779,30135,30206,30151,30236
7:11:28.997,13,8,995,27799,24733,26145,24399,23779,30135,30206,30151,30237
7:11:28.997,13,8,995,27799,24733,26145,24399,23778,30135,30206,30151,30236
7:11:28.997,13,8,995,27799,24733,26145,24400,23778,30135,30206,30151,30236
7:11:28.997,13,8,995,27799,24733,26145,24400,23779,30135,30206,30151,30236
7:11:28.997,13,8,995,27799,24733,26145,24400,23779,30135,30206,30151,30237
7:11:28.997,14,8,995,27799,24734,26145,24399,23779,30135,30206,30151,30236
7:11:28.998,14,8,995,27799,24734,26145,24399,23779,30135,30206,30151,30237
7:11:28.998,14,8,995,27799,24734,26145,24399,23779,30136,30206,30151,30237
7:11:28.998,14,8,995,27799,24734,26145,24399,23779,30135,30206,30151,30237
7:11:28.998,14,8,995,27799,24733,26145,24399,23779,30135,30206,30151,30237
7:11:28.998,14,8,995,27799,24733,26145,24399,23779,30135,30206,30151,30237
7:11:28.998,13,8,995,27799,24733,26145,24399,23779,30134,30206,30150,30237
7:11:28.998,14,9,995,27799,24732,26145,24398,23779,30134,30205,30150,30237
7:11:28.998,13,10,995,27799,24732,26144,24399,23780,30134,30205,30150,30238
7:11:28.998,13,10,995,27799,24733,26144,24399,23780,30134,30205,30151,30237
7:11:28.998,13,9,995,27799,24733,26145,24399,23779,30135,30205,30151,30237
7:11:28.998,14,9,995,27799,24733,26145,24399,23779,30135,30205,30150,30237
7:11:28.998,15,9,995,27799,24733,26144,24398,23779,30135,30205,30150,30237
7:11:28.998,14,9,995,27799,24733,26145,24399,23779,30134,30206,30150,30237
7:11:28.998,14,9,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:28.998,14,10,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:28.998,14,10,995,27799,24733,26145,24399,23780,30135,30205,30150,30238
7:11:28.998,14,10,995,27799,24733,26144,24399,23780,30135,30205,30151,30238
7:11:28.998,13,10,995,27799,24733,26144,24399,23779,30134,30205,30151,30237
7:11:28.998,14,9,995,27799,24733,26144,24399,23779,30135,30205,30151,30237
7:11:29.46,13,9,995,27799,24733,26144,24399,23779,30135,30205,30151,30237
7:11:29.46,13,9,995,27799,24733,26144,24399,23779,30134,30205,30151,30237
7:11:29.46,14,10,994,27799,24732,26144,24398,23779,30134,30204,30150,30237
7:11:29.46,13,10,994,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.46,13,10,994,27799,24732,26143,24399,23779,30134,30204,30150,30236
7:11:29.46,14,10,994,27799,24733,26143,24399,23779,30134,30204,30150,30236
7:11:29.46,14,10,995,27799,24733,26144,24399,23779,30135,30204,30150,30236
7:11:29.46,13,10,994,27799,24733,26143,24399,23779,30134,30204,30150,30236
7:11:29.46,13,9,995,27799,24733,26144,24400,23779,30134,30205,30151,30236
7:11:29.46,13,9,995,27799,24733,26144,24399,23779,30134,30205,30151,30237
7:11:29.46,14,10,995,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.46,13,10,995,27799,24732,26144,24399,23780,30134,30205,30151,30237
7:11:29.46,13,9,995,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.46,13,9,995,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.46,13,10,995,27799,24733,26144,24399,23779,30134,30205,30151,30237
7:11:29.93,14,10,995,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.93,14,10,995,27799,24733,26144,24399,23780,30135,30205,30150,30237
7:11:29.93,14,10,995,27799,24733,26144,24399,23780,30135,30205,30150,30237
7:11:29.93,14,10,995,27799,24733,26144,24399,23780,30135,30205,30150,30237
7:11:29.93,14,9,995,27799,24733,26145,24399,23779,30135,30205,30150,30237
7:11:29.93,14,9,994,27799,24733,26144,24399,23779,30134,30205,30150,30236
7:11:29.93,14,9,994,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.93,14,9,995,27799,24733,26145,24399,23779,30135,30205,30151,30236
7:11:29.93,15,8,995,27799,24733,26145,24398,23778,30135,30206,30150,30236
7:11:29.93,15,8,995,27799,24734,26145,24399,23779,30135,30206,30150,30236
7:11:29.93,14,8,994,27799,24733,26144,24398,23778,30135,30205,30150,30236
7:11:29.93,15,9,995,27799,24734,26144,24398,23779,30135,30205,30150,30237
7:11:29.93,15,9,995,27799,24734,26145,24398,23779,30136,30205,30150,30237
7:11:29.93,15,9,995,27799,24734,26144,24399,23779,30135,30205,30150,30236
7:11:29.93,15,8,995,27799,24734,26145,24399,23779,30136,30206,30150,30236
7:11:29.93,14,9,995,27799,24734,26145,24399,23779,30135,30205,30150,30236
7:11:29.138,14,9,995,27799,24733,26144,24399,23779,30135,30205,30150,30237
7:11:29.138,14,9,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:29.138,13,9,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:29.138,13,9,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:29.138,14,9,995,27799,24733,26145,24398,23779,30134,30205,30150,30237
7:11:29.138,13,9,995,27799,24733,26145,24399,23779,30134,30205,30150,30237
7:11:29.138,14,9,995,27800,24733,26145,24399,23779,30135,30205,30150,30237
7:11:29.138,13,9,995,27800,24733,26145,24399,23779,30134,30205,30150,30237
7:11:29.138,13,9,994,27799,24732,26145,24398,23779,30133,30205,30150,30237
7:11:29.138,13,9,994,27800,24732,26145,24398,23779,30133,30206,30150,30237
7:11:29.138,13,9,995,27799,24732,26146,24398,23780,30134,30206,30150,30238
7:11:29.138,14,8,995,27799,24733,26146,24399,23780,30135,30206,30150,30237
7:11:29.138,14,8,995,27799,24733,26145,24399,23779,30135,30206,30150,30237
7:11:29.138,14,9,995,27799,24733,26145,24399,23779,30135,30206,30150,30237
7:11:29.138,13,9,995,27799,24733,26145,24399,23780,30135,30205,30151,30237
7:11:29.179,14,9,995,27799,24733,26145,24399,23779,30135,30206,30151,30237
7:11:29.179,13,9,995,27799,24733,26145,24399,23780,30135,30206,30151,30237
7:11:29.179,14,9,995,27799,24733,26145,24399,23780,30135,30206,30150,30237
7:11:29.179,14,9,995,27799,24733,26146,24399,23780,30135,30206,30151,30238
7:11:29.179,14,9,995,27799,24733,26146,24399,23780,30135,30206,30150,30238
7:11:29.179,14,10,995,27799,24733,26145,24399,23780,30135,30206,30150,30238
7:11:29.179,13,10,995,27799,24733,26144,24399,23779,30135,30205,30151,30237
7:11:29.179,13,10,995,27799,24733,26144,24399,23779,30134,30205,30150,30237
7:11:29.179,14,10,995,27799,24733,26144,24399,23779,30135,30205,30151,30237
7:11:29.179,14,10,995,27799,24734,26144,24399,23780,30135,30205,30151,30238
7:11:29.179,14,10,995,27799,24733,26144,24399,23780,30135,30205,30150,30237
7:11:29.179,14,10,995,27799,24734,26144,24399,23779,30135,30205,30150,30237
7:11:29.179,15,10,995,27799,24734,26144,24398,23780,30136,30205,30150,30237
7:11:29.179,16,9,995,27799,24735,26145,24399,23779,30136,30205,30150,30237
7:11:29.179,16,9,995,27799,24735,26145,24398,23779,30136,30205,30150,30237
7:11:29.179,15,9,995,27799,24735,26145,24399,23779,30136,30205,30151,30237
7:11:29.205,15,9,995,27799,24735,26144,24399,23779,30136,30205,30151,30237
7:11:29.205,15,9,995,27799,24734,26145,24399,23779,30136,30206,30150,30237
7:11:29.205,15,9,995,27799,24734,26145,24398,23780,30135,30206,30150,30238
7:11:29.205,15,9,995,27799,24734,26145,24399,23779,30135,30206,30150,30237
7:11:29.205,15,10,995,27799,24734,26145,24398,23780,30136,30206,30150,30238
7:11:29.205,15,9,995,27799,24734,26145,24399,23779,30135,30206,30150,30237
7:11:29.205,15,9,995,27799,24734,26144,24398,23779,30136,30205,30150,30237
7:11:29.205,16,9,995,27799,24735,26144,24398,23779,30136,30205,30150,30237
7:11:29.205,16,9,995,27799,24735,26145,24399,23779,30137,30205,30151,30237
7:11:29.205,15,9,995,27799,24734,26144,24399,23779,30136,30205,30151,30237
7:11:29.205,14,8,995,27799,24734,26145,24399,23779,30135,30206,30151,30237
7:11:29.205,14,8,996,27799,24734,26145,24399,23779,30136,30206,30151,30237
7:11:29.205,15,9,995,27799,24734,26145,24399,23779,30136,30206,30150,30237
7:11:29.279,14,9,995,27799,24734,26145,24399,23779,30135,30206,30150,30237
7:11:29.279,14,9,995,27799,24733,26144,24399,23779,30135,30205,30151,30237
